source,target
نان,Bread
نگران نباش.,Don't worry.
It is cold.,سرد است.
به دارو نیاز دارم.,I need medicine.
به خانه برمی‌گردم.,I come back home.
How old are ou?,چند سالته؟
باقی‌اش مال خودت.,Keep the change.
What is wrong,چه شده؟
I am free now.,الان آزادم.
پدر,Father
It is oo samll.,خیلی کوچک است.
What i this?,این چیست؟
Do you have a charger?,شارژر داری؟
Good ide. a,ایده خوبیه.
My phone number is...,شماره تلفنم ... است.
دما چند درجه است؟,What is the temperature?
Be quiet.,ساکت باش.
چراغ را خاموش کن.,Turn off the light.
Chcien,مرغ
Ifeel bad.,حس بدی دارم.
این دوست من است.,This is my friend.
پنج‌شنبه,Thursday
تو فوق‌العاده‌ای.,You are amazing.
Goah ead.,بفرمایید.
دود بیست دقیقه.,About twenty minutes.
Close the door please.,لطفاً در را ببند.
Plaeseopen the window.,لطفاً پنجره را باز کن.
Maybe.,شاید.
I am tired.,من خسته‌ام.
It is August.,مرداد است.
گربه,Cat
How do you feel?,چه حسی داری؟
خواهش می‌کنم.,My pleasure.
It ake a shore.,دوش می‌گیرم.
Are yuo okay?,خوبی؟
I take a shower.,دوش می‌گیرم.
Horse,اسب
Son,پسر
مطمئنی؟,Are you sure?
What is the matter?,چه شده؟
My name is Ali.,اسم من علی است.
Ladies first.,خانم‌ها اول.
I want tea.,چای می‌خوام.
هواخ وب اس. ت,The weather is nice.
پرنده,Bird
متشکرم,Thank you
آرومب اش.,Take it easy.
من والدینم را دوست دارم.,I love my parents.
It will rain tomorrow.,فردا باران خواهد بارید.
I will be back soon.,زود برمی‌گردم.
Haev a nice day.,روز خوبی داشته باشی.
منطقی است.,It makes sense.
کجا کار می‌کنی؟,Where do you work?
Window,پنجره
Thursday,پنج‌شنبه
هفهت آنده,Next week
You are very kind.,شما خیلی مهربانید.
من یک سگ خانگی دارم.,I have a pet dog.
Is t farf rom hree?,از اینجا دور است؟
See you soon.,به زودی می‌بینمت.
خوش امد یخونه.,Welcome home.
الان آزادم.,I am free now.
oDn't mentio it.,قابلی نداره.
Have fun!,خوش بگذره!
دقردانم.,I appreciate it.
دارم کتاب می‌خونم.,I am reading a book.
مغازه ساعت چند باز می‌شود؟,What time does the store open?
به کمی فضا نیاز دارم.,I need some space.
Let's start over.,از اول شروع کنیم.
Reply as soon as opssible.,هرچه زودتر جواب بده.
I love myparnets.,من والدینم را دوست دارم.
سر کار سرم شلوغ است.,I am busy at work.
بریم.,Let's go.
No hard feelings.,کدورتی نیست.
این یک کتاب است.,This is a book.
Stand up.,پاشو.
Learn from your mmistkae. s,از اشتباهاتت یاد بگیر.
I sent you an email.,ببرایت ایمیل فرستادم.
I made a mistake.,اشتباه کردم.
ساعت هفت بیدار می‌شوم.,I wake up at seven.
Chicken,مرغ
خدااحفظ,Goodbye
I am looking forward to it.,منتظرشم.
How is the weather today?,هوا امروز چطور است؟
Itis none of you rbusiness.,به تو ربطی نداره.
باید گوشی‌ا مراش ارژ کنم.,I need to charge my phone.
I ened money.,به پول نیاز دارم.
کمی.,A little.
Yelolw,زرد
What does thism ean?,این یعنی چه؟
Keep the change.,باقی‌اش مال خودت.
Are you sure?,مطمئنی؟
البته می‌تونی.,Of course you can.
میل هستم.,I would like.
I a mthirsty.,من تشنه‌ام.
Whee do you work?,کجا کار می‌کنی؟
رنگ مورد علاقه‌ام سبز است.,My favorite color is green.
خوشحالم.,I am happy.
I sent you an email.,برات ایمیل فرستادم.
"No, I do't.",نه، ندارم.
چای می‌خوام.,I want tea.
Pleasehelp me.,لطفاً کمکم کن.
آزاد هستی؟,Are you free?
Are you free?,آزاد هستی؟
I study a tunersity.,من در دانشگاه درس می‌خوانم.
دلم برتا تنگ می‌شه.,I will miss you.
Whatdo you do?,چه کار می‌کنی؟
حس خوبی دارم.,I feel good.
یکشنب,Sunday
خیلی لطف دارید.,You are too kind.
به دکتر نیاز دارم.,I need a doctor.
گرنا بود.,It was expensive.
Tkaey our time.,عجله نکن.
Here is your change.,این هم باقی پولت.
Sisetr,خواهر
چه نوع موسیقی دوست داری؟,What kind of music do you like?
به تاکسی نیاز دارم.,I need a taxi.
What are you doing?,چه کار می‌کنی؟
I am angry.,عصبانی‌ام.
سردرد دارم.,My head hurts.
غذای مودر علاقه‌ات چیه؟,What is your favorite food?
سیاه,Black
Becraeful with that.,با آن مراقب باش.
Her eis you rchange.,این هم باقی پولت.
از آشنایی با شما خوشبختم,Nice to meet you
I amd iong well.,حالم خوبه.
والی بار است هک اینجا می‌آیم.,This is my first time here.
می‌توانی بنویسیش؟,Can you write it down?
ود خواهر دارم.,I have two sisters.
About ten imnutes.,حدود ده دقیقه.
Do you speak English?,انگلیسی بلدی؟
That would be great.,عالی می‌شود.
I don't have a car.,ماشین ندارم.
Go straight ahead.,مستقیم برو.
از ملاقات خوشحال شدم.,It was nice meeting you.
Great job!,کارت عالی بود!
hWere s the fitting room?,اتاق پرو کجاست؟
Where is my seat?,صندلی من کجاست؟
Hwo do yous ay this in English?,این را به انگلیسی چطور می‌گویند؟
I have a fver.,تب دارم.
Where is the restaurant?,رستوران کجاست؟
ده,Ten
Purple,بنفش
I am proud o fyou.,بهت افتخار می‌کنم.
فردا همدیگه رو ببینیم.,Let's meet tomorrow.
لطفاً ایمیلت ر اچک کن.,Please check your email.
ntil next time.,تا دفعه بعد.
That is false.,غلط است.
