source,target
Hello,سلام
سلام,Hello
Good morning!,صبح بخیر!
صبح بخیر!,Good morning!
Good evening,عصر بخیر
عصر بخیر,Good evening
Good night,شب بخیر
شب بخیر,Good night
How are you?,حال شما چطور است؟
حال شما چطور است؟,How are you?
I am fine.,من خوبم.
من خوبم.,I am fine.
Thank you,متشکرم
متشکرم,Thank you
You are welcome,خواهش می‌کنم
خواهش می‌کنم,You are welcome
Please,لطفاً
لطفاً,Please
Sorry,ببخشید
ببخشید,Sorry
Excuse me,ببخشید
ببخشید,Excuse me
Yes,بله
بله,Yes
No,نه
نه,No
What is your name?,اسم شما چیست؟
اسم شما چیست؟,What is your name?
My name is Ali.,اسم من علی است.
اسم من علی است.,My name is Ali.
Nice to meet you,از آشنایی با شما خوشبختم
از آشنایی با شما خوشبختم,Nice to meet you
How old are you?,چند سالته؟
چند سالته؟,How old are you?
I am twenty years old.,من بیست ساله هستم.
من بیست ساله هستم.,I am twenty years old.
Where are you from?,اهل کجا هستی؟
اهل کجا هستی؟,Where are you from?
I am from Iran.,من اهل ایران هستم.
من اهل ایران هستم.,I am from Iran.
What time is it?,ساعت چند است؟
ساعت چند است؟,What time is it?
It is three o'clock.,ساعت سه است.
ساعت سه است.,It is three o'clock.
Where is the bathroom?,دستشویی کجاست؟
دستشویی کجاست؟,Where is the bathroom?
How much is it?,قیمتش چقدر است؟
قیمتش چقدر است؟,How much is it?
It is too expensive.,خیلی گران است.
خیلی گران است.,It is too expensive.
Can you help me?,می‌تونی کمکم کنی؟
می‌تونی کمکم کنی؟,Can you help me?
I need help.,به کمک نیاز دارم.
به کمک نیاز دارم.,I need help.
I don't understand.,متوجه نمی‌شوم.
متوجه نمی‌شوم.,I don't understand.
Please speak slowly.,لطفاً آهسته صحبت کن.
لطفاً آهسته صحبت کن.,Please speak slowly.
Can you repeat that?,می‌تونی دوباره بگی؟
می‌تونی دوباره بگی؟,Can you repeat that?
What does this mean?,این یعنی چه؟
این یعنی چه؟,What does this mean?
I am hungry.,من گرسنه‌ام.
من گرسنه‌ام.,I am hungry.
I am thirsty.,من تشنه‌ام.
من تشنه‌ام.,I am thirsty.
I am tired.,من خسته‌ام.
من خسته‌ام.,I am tired.
I am happy.,من خوشحالم.
من خوشحالم.,I am happy.
I am sad.,من غمگینم.
من غمگینم.,I am sad.
I love you.,دوستت دارم.
دوستت دارم.,I love you.
I like it.,دوستش دارم.
دوستش دارم.,I like it.
I don't like it.,دوستش ندارم.
دوستش ندارم.,I don't like it.
This is good.,این خوب است.
این خوب است.,This is good.
This is bad.,این بد است.
این بد است.,This is bad.
Open the door.,در را باز کن.
در را باز کن.,Open the door.
Close the window.,پنجره را ببند.
پنجره را ببند.,Close the window.
Turn on the light.,چراغ را روشن کن.
چراغ را روشن کن.,Turn on the light.
Turn off the light.,چراغ را خاموش کن.
چراغ را خاموش کن.,Turn off the light.
Sit down.,بشین.
بشین.,Sit down.
Stand up.,پاشو.
پاشو.,Stand up.
Come here.,بیا اینجا.
بیا اینجا.,Come here.
Go there.,برو آنجا.
برو آنجا.,Go there.
Wait a moment.,یک لحظه صبر کن.
یک لحظه صبر کن.,Wait a moment.
Hurry up!,زود باش!
زود باش!,Hurry up!
Be careful.,مراقب باش.
مراقب باش.,Be careful.
Don't worry.,نگران نباش.
نگران نباش.,Don't worry.
Everything is fine.,همه‌چیز خوب است.
همه‌چیز خوب است.,Everything is fine.
See you later.,بعداً می‌بینمت.
بعداً می‌بینمت.,See you later.
See you tomorrow.,فردا می‌بینمت.
فردا می‌بینمت.,See you tomorrow.
Goodbye,خداحافظ
خداحافظ,Goodbye
Have a nice day.,روز خوبی داشته باشی.
روز خوبی داشته باشی.,Have a nice day.
Happy birthday!,تولدت مبارک!
تولدت مبارک!,Happy birthday!
Congratulations!,تبریک می‌گم!
تبریک می‌گم!,Congratulations!
I am sorry for being late.,بابت دیر کردن عذر می‌خوام.
بابت دیر کردن عذر می‌خوام.,I am sorry for being late.
Where do you live?,کجا زندگی می‌کنی؟
کجا زندگی می‌کنی؟,Where do you live?
I live in Tehran.,من در تهران زندگی می‌کنم.
من در تهران زندگی می‌کنم.,I live in Tehran.
What do you do?,چه کار می‌کنی؟
چه کار می‌کنی؟,What do you do?
I am a student.,من دانشجو هستم.
من دانشجو هستم.,I am a student.
I am a teacher.,من معلم هستم.
من معلم هستم.,I am a teacher.
Do you speak English?,انگلیسی بلدی؟
انگلیسی بلدی؟,Do you speak English?
A little.,کمی.
کمی.,A little.
I speak Persian.,من فارسی صحبت می‌کنم.
من فارسی صحبت می‌کنم.,I speak Persian.
What is this?,این چیست؟
این چیست؟,What is this?
This is a book.,این یک کتاب است.
این یک کتاب است.,This is a book.
That is a pen.,آن یک خودکار است.
آن یک خودکار است.,That is a pen.
How are you doing?,حالت چطوره؟
حالت چطوره؟,How are you doing?
I am doing well.,حالم خوبه.
حالم خوبه.,I am doing well.
What's up?,چه خبر؟
چه خبر؟,What's up?
Nothing much.,چیزی نیست.
چیزی نیست.,Nothing much.
Let's go.,بریم.
بریم.,Let's go.
I agree.,موافقم.
موافقم.,I agree.
I disagree.,مخالفم.
مخالفم.,I disagree.
Of course.,البته.
البته.,Of course.
Maybe.,شاید.
شاید.,Maybe.
I think so.,فکر می‌کنم همینطوره.
فکر می‌کنم همینطوره.,I think so.
I don't know.,نمی‌دانم.
